BuildingType,Latitude,NumberofBuildings,GHGEmissionsIntensity,TotalGHGEmissions,PropertyGFATotal,PrimaryPropertyType,YearBuilt,Neighborhood,Longitude,NumberofFloors,LargestPropertyUseType,ENERGYSTARScore
Multifamily HR (10+),47.61503,1,0.63,374.56,590869,High-Rise Multifamily,2001,DOWNTOWN,-122.35378,16,Multifamily Housing,93
Multifamily HR (10+),47.61511,1,0.89,144.45,162865,High-Rise Multifamily,2001,DOWNTOWN,-122.35189,12,Multifamily Housing,54
Multifamily HR (10+),47.61531,1,0.9,542.74,602398,High-Rise Multifamily,2012,DOWNTOWN,-122.34041,24,Multifamily Housing,73
Multifamily HR (10+),47.61531,1,2.6,130.28,50141,High-Rise Multifamily,1928,DOWNTOWN,-122.33018,14,Multifamily Housing,82
Multifamily HR (10+),47.61534,1,0.16,58.52,358176,High-Rise Multifamily,1989,DOWNTOWN,-122.34844,26,Multifamily Housing,85
Multifamily HR (10+),47.61574,1,0.55,102.6,187139,High-Rise Multifamily,2007,DOWNTOWN,-122.35211,13,Multifamily Housing,49
Multifamily HR (10+),47.61589,1,0.24,122.99,517164,High-Rise Multifamily,2008,DOWNTOWN,-122.33342,37,Multifamily Housing,90
Multifamily HR (10+),47.61598,1,0.36,43.2,120405,High-Rise Multifamily,2004,DOWNTOWN,-122.35149,13,Multifamily Housing,75
Multifamily HR (10+),47.6161,1,0.21,61.46,299755,High-Rise Multifamily,2006,DOWNTOWN,-122.33576,33,Multifamily Housing,63
Multifamily HR (10+),47.61612,1,0.94,117.79,125258,High-Rise Multifamily,1980,DOWNTOWN,-122.34973,18,Multifamily Housing,67
Multifamily HR (10+),47.61631,1,1.08,285.62,264239,High-Rise Multifamily,2000,DOWNTOWN,-122.35209,12,Multifamily Housing,33
Multifamily HR (10+),47.61633,1,1.35,351.53,260685,High-Rise Multifamily,1993,DOWNTOWN,-122.34894,25,Multifamily Housing,75
Multifamily HR (10+),47.61652,1,1.24,395.26,319481,High-Rise Multifamily,2015,DOWNTOWN,-122.33735,40,Multifamily Housing,75
Multifamily HR (10+),47.61678,1,1.15,369.68,321050,High-Rise Multifamily,1990,DOWNTOWN,-122.34698,26,Multifamily Housing,32
Multifamily HR (10+),47.61679,1,0.65,175.44,269065,High-Rise Multifamily,2014,DOWNTOWN,-122.3489,26,Multifamily Housing,92
Multifamily HR (10+),47.61725,1,0.82,144.57,176043,High-Rise Multifamily,2011,DOWNTOWN,-122.34844,17,Multifamily Housing,89
Multifamily HR (10+),47.61733,1,1.86,408.82,219874,High-Rise Multifamily,1999,DOWNTOWN,-122.35376,13,NULL,17
Multifamily HR (10+),47.61753,1,0.69,103.37,149976,High-Rise Multifamily,2015,DOWNTOWN,-122.3362,20,Multifamily Housing,99
Multifamily HR (10+),47.61754,1,0.72,126.53,175353,High-Rise Multifamily,2007,DOWNTOWN,-122.34902,12,Multifamily Housing,53
Multifamily HR (10+),47.61754,1,0.78,175.27,224105,High-Rise Multifamily,2008,DOWNTOWN,-122.35225,13,Multifamily Housing,75
Multifamily HR (10+),47.61768,1,0.37,26.09,70200,High-Rise Multifamily,1979,DOWNTOWN,-122.34716,13,Multifamily Housing,9
Multifamily HR (10+),47.61779,1,1.67,658.76,393841,High-Rise Multifamily,1949,DOWNTOWN,-122.34524,18,Multifamily Housing,81
Multifamily HR (10+),47.61834,1,0.65,130.6,201839,High-Rise Multifamily,2014,DOWNTOWN,-122.34832,13,Multifamily Housing,84
Multifamily HR (10+),47.61882,1,0.26,35.6,139127,High-Rise Multifamily,1969,EAST,-122.32759,10,Multifamily Housing,68
Multifamily HR (10+),47.6189,1,0.77,260.38,336003,High-Rise Multifamily,2014,LAKE UNION,-122.34671,10,Multifamily Housing,92
Multifamily HR (10+),47.61921,1,1.15,458.44,399935,High-Rise Multifamily,2007,LAKE UNION,-122.33807,11,Multifamily Housing,20
Multifamily HR (10+),47.62272,1,0.39,12.15,31152,High-Rise Multifamily,1992,EAST,-122.32742,10,Multifamily Housing,34
Multifamily HR (10+),47.62345,1,1.28,86.5,67813,High-Rise Multifamily,1962,EAST,-122.32442,11,Multifamily Housing,77
Multifamily HR (10+),47.62383,1,0.87,67.98,78199,High-Rise Multifamily,1971,EAST,-122.31516,11,Multifamily Housing,48
Multifamily HR (10+),47.62393,1,0.34,22.29,65538,High-Rise Multifamily,1963,MAGNOLIA / QUEEN ANNE,-122.36362,11,Multifamily Housing,32
Multifamily HR (10+),47.62395,1,0.26,17.41,66150,High-Rise Multifamily,1965,EAST,-122.32442,11,Multifamily Housing,21
Multifamily HR (10+),47.62435,1,0.16,8.38,52334,High-Rise Multifamily,1963,MAGNOLIA / QUEEN ANNE,-122.36293,11,Multifamily Housing,54
Multifamily HR (10+),47.62464,1,0.28,27.69,97160,High-Rise Multifamily,1970,EAST,-122.32444,12,Multifamily Housing,17
Multifamily HR (10+),47.62684,1,0.26,63.87,241387,Senior Care Community,1960,MAGNOLIA / QUEEN ANNE,-122.35736,10,Senior Care Community,46
Multifamily HR (10+),47.63018,1,0.15,44.01,286408,High-Rise Multifamily,2003,MAGNOLIA / QUEEN ANNE,-122.34261,11,Multifamily Housing,78
Multifamily HR (10+),47.63383,1,0.75,110.02,146102,High-Rise Multifamily,1969,EAST,-122.27624,23,Multifamily Housing,7
Multifamily HR (10+),47.6624,1,0.69,53.87,78600,High-Rise Multifamily,1971,NORTHEAST,-122.32038,10,Multifamily Housing,41
Multifamily HR (10+),47.66289,1,0.69,117.64,169565,High-Rise Multifamily,1974,NORTHEAST,-122.31882,23,Multifamily Housing,7
Multifamily HR (10+),47.66341,1,0.26,19.1,72831,High-Rise Multifamily,1971,NORTHEAST,-122.3149,11,Multifamily Housing,72
Multifamily HR (10+),47.67807,1,4.35,865.48,198752,Senior Care Community,1965,NORTHWEST,-122.32917,10,Senior Care Community,24
Multifamily HR (10+),47.6793,1,0.85,80.47,94410,High-Rise Multifamily,1969,NORTHWEST,-122.322,11,Multifamily Housing,22
Multifamily HR (10+),47.70451,1,0.35,26.47,75070,High-Rise Multifamily,1979,NORTHWEST,-122.33453,10,Multifamily Housing,18
Multifamily HR (10+),47.72101,1,1.67,474.86,284970,High-Rise Multifamily,1990,NORTHWEST,-122.35725,10,Multifamily Housing,77
Multifamily LR (1-4),47.50061895,1,1.26,157.88,124930,Senior Care Community,1995,EAST,-122.2209659,3,Senior Care Community,98
Multifamily LR (1-4),47.50224,1,0.12,3.75,31457,Low-Rise Multifamily,1979,SOUTHWEST,-122.37649,3,Multifamily Housing,92
Multifamily LR (1-4),47.51169,1,0.65,75.07,115819,Low-Rise Multifamily,1967,SOUTHWEST,-122.39435,3,Multifamily Housing,1
Multifamily LR (1-4),47.51715,1,0.17,7.03,42084,Low-Rise Multifamily,1981,SOUTHWEST,-122.37647,4,Multifamily Housing,76
Multifamily LR (1-4),47.51789,2,0.21,7.54,36260,Low-Rise Multifamily,1997,DELRIDGE,-122.36689,3,Multifamily Housing,68
